GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
achat,tn.esprit.rh.achat.entities,Facture,96,0,0,0,12,0,20,0,20,0
achat,tn.esprit.rh.achat.entities,SecteurActivite,46,0,0,0,7,0,10,0,10,0
achat,tn.esprit.rh.achat.entities,Produit.ProduitBuilder,122,0,0,0,1,0,12,0,12,0
achat,tn.esprit.rh.achat.entities,CategorieProduit,46,0,0,0,7,0,10,0,10,0
achat,tn.esprit.rh.achat.entities,Operateur,56,0,0,0,8,0,12,0,12,0
achat,tn.esprit.rh.achat.entities,Stock.StockBuilder,74,0,0,0,1,0,8,0,8,0
achat,tn.esprit.rh.achat.entities,CategorieFournisseur,24,0,0,0,2,0,1,0,1,0
achat,tn.esprit.rh.achat.entities,DetailFournisseur,66,0,0,0,9,0,14,0,14,0
achat,tn.esprit.rh.achat.entities,Produit,100,0,0,0,13,0,21,0,21,0
achat,tn.esprit.rh.achat.entities,Reglement,66,0,0,0,9,0,14,0,14,0
achat,tn.esprit.rh.achat.entities,Stock,72,0,0,0,14,0,14,0,14,0
achat,tn.esprit.rh.achat.entities,Fournisseur,76,0,0,0,10,0,16,0,16,0
achat,tn.esprit.rh.achat.entities,DetailFacture,76,0,0,0,10,0,16,0,16,0
achat,tn.esprit.rh.achat.controllers,CategorieProduitController,28,0,0,0,7,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,OperateurController,27,0,0,0,7,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,FournisseurRestController,33,0,0,0,9,0,7,0,7,0
achat,tn.esprit.rh.achat.controllers,ReglementRestController,31,0,0,0,8,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,FactureRestController,42,0,0,0,12,0,8,0,8,0
achat,tn.esprit.rh.achat.controllers,ProduitRestController,33,0,0,0,9,0,7,0,7,0
achat,tn.esprit.rh.achat.controllers,SecteurActiviteController,27,0,0,0,7,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,StockRestController,27,0,0,0,7,0,6,0,6,0
achat,tn.esprit.rh.achat,AchatApplication,8,0,0,0,3,0,2,0,2,0
achat,tn.esprit.rh.achat.util,SpringFoxSwaggerConfig,80,0,0,0,22,0,6,0,6,0
achat,tn.esprit.rh.achat.services,StockServiceImpl,174,0,4,0,35,0,10,0,8,0
achat,tn.esprit.rh.achat.services,SecteurActiviteServiceImpl,34,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat.services,CategorieProduitServiceImpl,35,0,0,0,10,0,6,0,6,0
achat,tn.esprit.rh.achat.services,ProduitServiceImpl,97,0,2,0,20,0,9,0,8,0
achat,tn.esprit.rh.achat.services,OperateurServiceImpl,34,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat.services,FactureServiceImpl,213,0,4,0,42,0,12,0,10,0
achat,tn.esprit.rh.achat.services,FournisseurServiceImpl,117,0,2,0,27,0,10,0,9,0
achat,tn.esprit.rh.achat.services,ReglementServiceImpl,33,0,0,0,7,0,6,0,6,0
